"","eld_bounds","pop_in_000","pct","inc_level"
"272","MARSILING-YEW TEE",3.78738817288865,4.16616731418302,"$8,000 - $8,999"
"273","MARYMOUNT",0.760964464059533,6.26000805800299,"$8,000 - $8,999"
"274","MOUNTBATTEN",1.23029972743204,3.83331360898541,"$8,000 - $8,999"
"275","NEE SOON",3.84376574346055,3.85637863172005,"$8,000 - $8,999"
"276","PASIR RIS-PUNGGOL",5.8876278623475,5.16118795786852,"$8,000 - $8,999"
"277","PIONEER",0.428180767270585,3.65469439193447,"$8,000 - $8,999"
"278","POTONG PASIR",1.44556158291022,3.6715668252406,"$8,000 - $8,999"
"279","PUNGGOL WEST",0.559611317443947,6.28315735575706,"$8,000 - $8,999"
"280","RADIN MAS",0.585265225560969,3.64963503649635,"$8,000 - $8,999"
"281","SEMBAWANG",4.95291863185528,4.02472540880174,"$8,000 - $8,999"
"282","SENGKANG",2.98989476674919,4.97826992806997,"$8,000 - $8,999"
"283","TAMPINES",2.38866319691819,3.66517857119129,"$8,000 - $8,999"
"284","TANJONG PAGAR",2.44493783423105,3.72569092197674,"$8,000 - $8,999"
"285","WEST COAST",8.4376717323581,3.73409900567295,"$8,000 - $8,999"
"286","YIO CHU KANG",0.567753080981395,3.06388222917947,"$8,000 - $8,999"
"287","YUHUA",0.171383323378841,3.68759736215495,"$8,000 - $8,999"
"288",NA,NA,NA,"$8,000 - $8,999"
"289","ALJUNIED",3.71405645533205,2.50841510541218,"$9,000 - $9,999"
"290","ANG MO KIO",4.48013913200288,2.5273156712056,"$9,000 - $9,999"
"291","BISHAN-TOA PAYOH",2.6405168993879,3.19487287526701,"$9,000 - $9,999"
"292","BUKIT BATOK",0.304622703555206,3.17380858661892,"$9,000 - $9,999"
"293","BUKIT PANJANG",0.438243716929213,3.24594257178527,"$9,000 - $9,999"
"294","CHUA CHU KANG",2.91198987894599,2.86316037128115,"$9,000 - $9,999"
"295","EAST COAST",3.96672535318705,2.53343761537694,"$9,000 - $9,999"
"296","HOLLAND-BUKIT TIMAH",3.78506736341901,3.4823128135388,"$9,000 - $9,999"
"297","HONG KAH NORTH",0.446451718010584,3.14933483536238,"$9,000 - $9,999"
"298","HOUGANG",0.286959612982871,2.31788079470199,"$9,000 - $9,999"
"299","JALAN BESAR",1.8182916912121,2.70335546176759,"$9,000 - $9,999"
"300","JURONG",2.51012298160603,2.97584727896576,"$9,000 - $9,999"
"301","KEBUN BARU",0.673669787067595,2.17412062192027,"$9,000 - $9,999"
"302","MACPHERSON",0.440639497861144,3.25730424295022,"$9,000 - $9,999"
"303","MARINE PARADE",3.41317055342738,2.80527333523345,"$9,000 - $9,999"
"304","MARSILING-YEW TEE",2.16697335876925,2.38369376623051,"$9,000 - $9,999"
"305","MARYMOUNT",0.441889653292262,3.63516684550633,"$9,000 - $9,999"
"306","MOUNTBATTEN",1.02047440660255,3.17954913199551,"$9,000 - $9,999"
"307","NEE SOON",2.34057306470076,2.34825339396601,"$9,000 - $9,999"
"308","PASIR RIS-PUNGGOL",4.71357883417,4.13199796015679,"$9,000 - $9,999"
"309","PIONEER",0.295297080876266,2.52047889098929,"$9,000 - $9,999"
"310","POTONG PASIR",1.11612226822926,2.83482733727117,"$9,000 - $9,999"
"311","PUNGGOL WEST",0.411952130732757,4.62528183356937,"$9,000 - $9,999"
"312","RADIN MAS",0.409685657892678,2.55474452554745,"$9,000 - $9,999"
"313","SEMBAWANG",3.38467602422192,2.75037661786609,"$9,000 - $9,999"
"314","SENGKANG",1.78586116194329,2.97351566251835,"$9,000 - $9,999"
"315","TAMPINES",1.45057089126647,2.22576433275444,"$9,000 - $9,999"
"316","TANJONG PAGAR",1.68559303435141,2.56857191962322,"$9,000 - $9,999"
"317","WEST COAST",6.14239996025505,2.71832447523102,"$9,000 - $9,999"
"318","YIO CHU KANG",0.402863177592816,2.17405307336034,"$9,000 - $9,999"
"319","YUHUA",0.100821950176249,2.16935201271254,"$9,000 - $9,999"
"320",NA,NA,NA,"$9,000 - $9,999"
"321","ALJUNIED",4.14469636232198,2.79926250115815,"$10,000 - $10,999"
"322","ANG MO KIO",4.83813006317176,2.72926388393624,"$10,000 - $10,999"
"323","BISHAN-TOA PAYOH",2.73667496617976,3.31121857992908,"$10,000 - $10,999"
"324","BUKIT BATOK",0.31734136895404,3.30632204993613,"$10,000 - $10,999"
"325","BUKIT PANJANG",0.33711055148401,2.49687890137328,"$10,000 - $10,999"
"326","CHUA CHU KANG",2.69999908373965,2.65472432955601,"$10,000 - $10,999"
"327","EAST COAST",4.164384232676,2.65967686708319,"$10,000 - $10,999"
"328","HOLLAND-BUKIT TIMAH",3.83572372244018,3.52891734422999,"$10,000 - $10,999"
"329","HONG KAH NORTH",0.461341513838689,3.25436960351568,"$10,000 - $10,999"
"330","HOUGANG",0.327953843408995,2.64900662251656,"$10,000 - $10,999"
"331","JALAN BESAR",1.80216829419397,2.67938391000728,"$10,000 - $10,999"
"332","JURONG",2.35607261642099,2.79321464964084,"$10,000 - $10,999"
"333","KEBUN BARU",0.796091223228454,2.56920880018187,"$10,000 - $10,999"
